,,,,,기관,외국인,외국인,외국인
날짜,종가,전일비,등락률,거래량,순매매량,순매매량,보유주수,보유율
2014.07.29,"1,386,000",28000,2.06%,"256,186","36,259","35,433","75,341,819",51.15%
2014.07.28,"1,358,000",3000,0.22%,"179,851","16,919","16,113","75,296,386",51.12%
2014.07.25,"1,355,000",0,0.00%,"175,803","15,815","-13,374","75,265,017",51.10%
2014.07.24,"1,355,000",17000,1.27%,"161,034","-7,415","43,139","75,275,071",51.10%
2014.07.23,"1,338,000",-10000,-0.74%,"128,346","-19,643","22,281","75,221,732",51.07%
2014.07.22,"1,348,000",-5000,-0.37%,"126,019","-4,467","12,624","75,192,051",51.05%
2014.07.21,"1,353,000",10000,0.74%,"161,199","-31,114","69,337","75,156,744",51.02%
2014.07.18,"1,343,000",13000,0.98%,"194,853","9,319","8,657","75,084,257",50.97%
2014.07.17,"1,330,000",9000,0.68%,"218,454","-10,256","39,331","75,073,080",50.97%
2014.07.16,"1,321,000",1000,0.08%,"182,284","-17,180","23,265","75,033,749",50.94%
2014.07.15,"1,320,000",34000,2.64%,"239,521","-48,322","87,948","75,009,343",50.92%
2014.07.14,"1,286,000",2000,0.16%,"141,643",-967,"-1,191","74,921,395",50.86%
2014.07.11,"1,284,000",-22000,-1.68%,"215,592","-48,272","-5,897","74,922,586",50.86%
2014.07.10,"1,306,000",-2000,-0.15%,"179,204","-26,245","34,971","74,926,383",50.87%
2014.07.09,"1,308,000",13000,1.00%,"236,598","-26,057","23,849","74,891,412",50.84%
2014.07.08,"1,295,000",3000,0.23%,"241,464","-19,846","30,765","74,842,363",50.81%
2014.07.07,"1,292,000",-14000,-1.07%,"188,741","-55,641","11,276","74,811,598",50.79%
2014.07.04,"1,306,000",-12000,-0.91%,"119,577","-23,291","-7,961","74,798,432",50.78%
2014.07.03,"1,318,000",-12000,-0.90%,"170,861","-39,197","38,447","74,806,393",50.79%
2014.07.02,"1,330,000",20000,1.53%,"222,785","-35,031","49,357","74,768,068",50.76%
2014.07.01,"1,310,000",-12000,-0.91%,"174,508","-74,172","47,868","74,718,921",50.73%
2014.06.30,"1,322,000",11000,0.84%,"177,621","-28,556","26,164","74,671,053",50.69%
2014.06.27,"1,311,000",-14000,-1.06%,"179,061","7,433","-52,687","74,644,448",50.68%
2014.06.26,"1,325,000",5000,0.38%,"255,306","27,840","-32,850","74,707,556",50.72%
2014.06.25,"1,320,000",-25000,-1.86%,"204,638","4,002","-29,572","74,730,406",50.73%
2014.06.24,"1,345,000",23000,1.74%,"237,817","3,564","17,562","74,759,978",50.75%
2014.06.23,"1,322,000",21000,1.61%,"249,765",718,"3,722","74,742,416",50.74%
2014.06.20,"1,301,000",-22000,-1.66%,"478,053","70,553","-154,864","74,738,694",50.74%
2014.06.19,"1,323,000",-35000,-2.58%,"446,794","-7,825","-110,354","74,895,238",50.85%
2014.06.18,"1,358,000",-16000,-1.16%,"220,887","-29,195",-410,"75,005,592",50.92%
2014.06.17,"1,374,000",0,0.00%,"269,535","-21,656","8,404","75,006,002",50.92%
2014.06.16,"1,374,000",7000,0.51%,"306,399","-45,131","42,181","74,992,172",50.91%
2014.06.13,"1,367,000",-46000,-3.26%,"371,781","-58,053","-70,620","74,947,891",50.88%
2014.06.12,"1,413,000",-9000,-0.63%,"258,863","-53,712","16,641","75,018,511",50.93%
2014.06.11,"1,422,000",-14000,-0.97%,"172,515","-14,247","14,004","75,001,870",50.92%
2014.06.10,"1,436,000",27000,1.92%,"184,282","-28,628","32,670","74,987,866",50.91%
2014.06.09,"1,409,000",-48000,-3.29%,"445,392","-17,059","-20,892","74,956,426",50.89%
2014.06.05,"1,457,000",-13000,-0.88%,"270,141","-6,507","-18,217","74,977,318",50.90%
2014.06.03,"1,470,000",15000,1.03%,"344,685","17,228","-20,399","74,992,991",50.91%
2014.06.02,"1,455,000",12000,0.83%,"148,789","-37,704","43,098","75,010,014",50.92%
2014.05.30,"1,443,000",-17000,-1.16%,"316,621","38,212","-11,204","74,964,605",50.89%
2014.05.29,"1,460,000",27000,1.88%,"250,430","18,394","59,245","74,975,809",50.90%
2014.05.28,"1,433,000",26000,1.85%,"184,019","13,289",-658,"74,916,554",50.86%
2014.05.27,"1,407,000",-15000,-1.05%,"94,968","-7,536","4,208","74,921,212",50.86%
2014.05.26,"1,422,000",-6000,-0.42%,"74,712","-3,547","7,240","74,903,417",50.85%
2014.05.23,"1,428,000",2000,0.14%,"170,233","4,913","4,076","74,891,957",50.84%
2014.05.22,"1,426,000",-15000,-1.04%,"190,800","-21,669","26,422","74,887,881",50.84%
2014.05.21,"1,441,000",-10000,-0.69%,"216,850","-16,591","32,587","74,859,771",50.82%
2014.05.20,"1,451,000",3000,0.21%,"320,146","-21,617","56,224","74,825,074",50.80%
2014.05.19,"1,448,000",20000,1.40%,"385,621","-5,358","94,467","74,768,850",50.76%
2014.05.16,"1,428,000",18000,1.28%,"317,130","-60,860","116,802","74,674,350",50.70%
2014.05.15,"1,410,000",-5000,-0.35%,"136,134","-11,282","38,378","74,557,548",50.62%
2014.05.14,"1,415,000",15000,1.07%,"222,075","23,507","38,752","74,521,280",50.59%
2014.05.13,"1,400,000",12000,0.86%,"242,148","43,738","25,170","74,481,377",50.56%
2014.05.12,"1,388,000",53000,3.97%,"318,896","80,811","1,207","74,455,237",50.55%
2014.05.09,"1,335,000",-15000,-1.11%,"263,141",938,"-35,213","74,457,618",50.55%
2014.05.08,"1,350,000",6000,0.45%,"325,638","3,117","-14,809","74,498,131",50.58%
2014.05.07,"1,344,000",-2000,-0.15%,"283,794","13,803","-15,328","74,528,775",50.60%
2014.05.02,"1,346,000",3000,0.22%,"298,867","-5,413","12,370","74,544,140",50.61%
2014.04.30,"1,343,000",-17000,-1.25%,"300,946","-27,337","-32,343","74,535,152",50.60%
2014.04.29,"1,360,000",-28000,-2.02%,"218,184","11,494","-47,993","74,574,752",50.63%
2014.04.28,"1,388,000",-11000,-0.79%,"188,629","1,613","-1,230","74,614,862",50.66%
2014.04.25,"1,399,000",-8000,-0.57%,"305,396","-53,580","106,431","74,616,092",50.66%
2014.04.24,"1,407,000",18000,1.30%,"210,924","-27,499","84,909","74,502,306",50.58%
2014.04.23,"1,389,000",14000,1.02%,"190,015","6,943","39,739","74,404,343",50.51%
2014.04.22,"1,375,000",-5000,-0.36%,"121,686","13,031","-1,745","74,363,338",50.48%
2014.04.21,"1,380,000",2000,0.15%,"65,985","4,948","6,023","74,358,753",50.48%
2014.04.18,"1,378,000",8000,0.58%,"190,367","51,382","-43,656","74,352,730",50.48%
2014.04.17,"1,370,000",-10000,-0.72%,"144,833","-5,153","1,427","74,396,386",50.51%
2014.04.16,"1,380,000",10000,0.73%,"186,171","21,013","7,605","74,394,959",50.51%
2014.04.15,"1,370,000",0,0.00%,"219,396","-29,923","31,489","74,390,746",50.50%
2014.04.14,"1,370,000",5000,0.37%,"211,720","-6,062","9,430","74,359,257",50.48%
2014.04.11,"1,365,000",-15000,-1.09%,"213,187","-40,127","34,623","74,349,827",50.48%
2014.04.10,"1,380,000",9000,0.66%,"199,984","-22,771","39,340","74,322,204",50.46%
2014.04.09,"1,371,000",-23000,-1.65%,"321,232",-119,"-17,092","74,264,466",50.42%
2014.04.08,"1,394,000",-3000,-0.21%,"212,164","-25,730","67,884","74,281,558",50.43%
2014.04.07,"1,397,000",17000,1.23%,"215,235","-38,360","80,709","74,212,408",50.38%
2014.04.04,"1,380,000",-10000,-0.72%,"368,007","2,232","9,153","74,131,747",50.33%
2014.04.03,"1,390,000",33000,2.43%,"381,976","21,415","114,330","74,118,165",50.32%
2014.04.02,"1,357,000",18000,1.34%,"262,001","-67,112","146,813","74,004,683",50.24%
2014.04.01,"1,339,000",-4000,-0.30%,"221,620","-41,276","58,377","73,856,604",50.14%
2014.03.31,"1,343,000",8000,0.60%,"265,197","-17,893","66,200","73,798,003",50.10%
2014.03.28,"1,335,000",2000,0.15%,"212,974","4,036","63,228","73,735,187",50.06%
2014.03.27,"1,333,000",48000,3.74%,"417,557","19,321","162,611","73,681,933",50.02%
2014.03.26,"1,285,000",38000,3.05%,"348,894","88,549","-5,919","73,509,322",49.90%
2014.03.25,"1,247,000",-26000,-2.04%,"272,500","-59,074","-40,732","73,515,241",49.91%
2014.03.24,"1,273,000",0,0.00%,"141,478",672,"-10,768","73,556,223",49.94%
2014.03.21,"1,273,000",11000,0.87%,"166,426","-14,787","-9,096","73,566,991",49.94%
2014.03.20,"1,262,000",-7000,-0.55%,"118,788","-6,132","-12,549","73,579,252",49.95%
2014.03.19,"1,269,000",-9000,-0.70%,"152,771","9,266","-24,191","73,591,801",49.96%
2014.03.18,"1,278,000",12000,0.95%,"220,912","34,791","-51,745","73,615,992",49.98%
2014.03.17,"1,266,000",-9000,-0.71%,"176,400","15,974","-63,592","73,667,695",50.01%
2014.03.14,"1,275,000",-15000,-1.16%,"216,736","-3,106","-38,286","73,735,507",50.06%
2014.03.13,"1,290,000",-4000,-0.31%,"235,004","28,712","-43,548","73,775,903",50.09%
2014.03.12,"1,294,000",-28000,-2.12%,"251,585","-30,566","-10,653","73,818,791",50.11%
2014.03.11,"1,322,000",2000,0.15%,"181,596","-20,426","7,257","73,829,444",50.12%
2014.03.10,"1,320,000",-19000,-1.42%,"173,152","-32,254","33,618","73,822,187",50.12%
2014.03.07,"1,339,000",13000,0.98%,"150,973","-28,678","53,015","73,788,569",50.09%
2014.03.06,"1,326,000",-4000,-0.30%,"172,335","-58,206","40,646","73,735,554",50.06%
2014.03.05,"1,330,000",15000,1.14%,"149,830","2,048","15,797","73,694,908",50.03%
2014.03.04,"1,315,000",-10000,-0.75%,"158,003","-14,479","4,549","73,679,111",50.02%
2014.03.03,"1,325,000",-24000,-1.78%,"242,083","-29,574","12,507","73,674,562",50.02%
2014.02.28,"1,349,000",8000,0.60%,"284,647","9,426","24,479","73,624,309",49.98%
2014.02.27,"1,341,000",-1000,-0.07%,"157,827","-12,905","24,542","73,550,621",49.93%
2014.02.26,"1,342,000",8000,0.60%,"258,361",749,"40,936","73,536,079",49.92%
2014.02.25,"1,334,000",6000,0.45%,"175,706","-19,030","47,553","73,480,923",49.89%
2014.02.24,"1,328,000",-2000,-0.15%,"148,501","5,024","19,328","73,433,370",49.85%
2014.02.21,"1,330,000",44000,3.42%,"286,924","-34,725","149,357","73,414,042",49.84%
2014.02.20,"1,286,000",-4000,-0.31%,"190,866","-31,461","42,980","73,258,325",49.73%
2014.02.19,"1,290,000",-5000,-0.39%,"123,595","-23,920","11,508","73,215,345",49.71%
2014.02.18,"1,295,000",10000,0.78%,"118,213","-6,000","3,984","73,203,837",49.70%
2014.02.17,"1,285,000",-16000,-1.23%,"187,733","-10,774","-11,854","73,199,853",49.69%
2014.02.14,"1,301,000",3000,0.23%,"124,415","-6,567","15,178","73,211,707",49.70%
2014.02.13,"1,298,000",-9000,-0.69%,"116,769","-8,798","-5,730","73,195,969",49.69%
2014.02.12,"1,307,000",-4000,-0.31%,"200,548","-8,303","28,818","73,203,814",49.70%
2014.02.11,"1,311,000",34000,2.66%,"253,680","-24,688","108,156","73,174,996",49.68%
2014.02.10,"1,277,000",2000,0.16%,"155,993","-35,411","45,994","73,067,900",49.61%
2014.02.07,"1,275,000",16000,1.27%,"198,872","-20,852","34,852","73,017,666",49.57%
2014.02.06,"1,259,000",22000,1.78%,"303,949","18,545","-9,695","72,978,574",49.54%
2014.02.05,"1,237,000",-12000,-0.96%,"298,533","3,943","-55,271","72,982,949",49.55%
2014.02.04,"1,249,000",-23000,-1.81%,"320,660","-6,818","-49,094","73,053,030",49.60%
2014.02.03,"1,272,000",-8000,-0.62%,"325,184","23,655","-34,165","73,103,184",49.63%
2014.01.29,"1,280,000",-3000,-0.23%,"383,637","-15,387","-16,522","73,144,446",49.66%
2014.01.28,"1,283,000",-9000,-0.70%,"234,027","22,852","-43,378","73,170,968",49.68%
2014.01.27,"1,292,000",-15000,-1.15%,"266,926","25,413","-18,792","73,220,181",49.71%
2014.01.24,"1,307,000",8000,0.62%,"280,035","-37,270","34,335","73,249,548",49.73%
2014.01.23,"1,299,000",-29000,-2.18%,"206,739","-33,693","3,922","73,191,057",49.69%
2014.01.22,"1,328,000",4000,0.30%,"216,530","1,503","11,319","73,187,135",49.69%
2014.01.21,"1,324,000",8000,0.61%,"151,246","-1,555","34,933","73,175,816",49.68%
2014.01.20,"1,316,000",24000,1.86%,"173,656","3,309","29,640","73,147,228",49.66%
2014.01.17,"1,292,000",-9000,-0.69%,"255,485","2,628","-8,244","73,112,303",49.64%
2014.01.16,"1,301,000",2000,0.15%,"195,049","5,448","-9,614","73,122,201",49.64%
2014.01.15,"1,299,000",-14000,-1.07%,"234,949","-11,207","-9,080","73,131,174",49.65%
2014.01.14,"1,313,000",18000,1.39%,"294,333","19,959","37,233","73,136,009",49.65%
2014.01.13,"1,295,000",23000,1.81%,"328,987","-4,535","32,517","73,098,776",49.63%
2014.01.10,"1,272,000",-3000,-0.24%,"363,783","-12,997","-8,774","73,069,220",49.61%
2014.01.09,"1,275,000",-16000,-1.24%,"425,019","-96,420","9,674","73,077,994",49.61%
2014.01.08,"1,291,000",-13000,-1.00%,"409,493","-70,964","45,003","73,068,320",49.61%
2014.01.07,"1,304,000",-3000,-0.23%,"395,264","-72,386","78,080","73,023,317",49.57%
2014.01.06,"1,307,000",11000,0.85%,"394,716","-36,466","23,475","72,945,660",49.52%
2014.01.03,"1,296,000",-13000,-0.99%,"529,932","-5,412","-131,160","72,892,505",49.49%
2014.01.02,"1,309,000",-63000,-4.59%,"620,500","-31,456","-168,998","72,989,755",49.55%
2013.12.30,"1,372,000",-24000,-1.72%,"338,162","-46,761","-17,992","73,158,753",49.67%
2013.12.27,"1,396,000",-12000,-0.85%,"210,200","-113,165","63,933","73,164,876",49.67%
2013.12.26,"1,408,000",-7000,-0.49%,"246,156","77,112","20,190","73,101,187",49.63%
2013.12.24,"1,415,000",-18000,-1.26%,"219,607","32,652","7,740","73,080,997",49.61%
2013.12.23,"1,433,000",6000,0.42%,"212,784","19,264","48,093","73,110,781",49.63%
2013.12.20,"1,427,000",0,0.00%,"168,148","10,176","15,881","73,104,855",49.63%
2013.12.19,"1,427,000",26000,1.86%,"211,048","3,125","69,763","73,107,434",49.63%
2013.12.18,"1,401,000",6000,0.43%,"217,984","17,180","-13,279","73,063,851",49.60%
2013.12.17,"1,395,000",-5000,-0.36%,"155,248","7,971","-10,838","73,087,730",49.62%
2013.12.16,"1,400,000",10000,0.72%,"179,088","-9,293","7,032","73,117,648",49.64%
2013.12.13,"1,390,000",-20000,-1.42%,"201,065","-8,738","-41,643","73,176,042",49.68%
2013.12.12,"1,410,000",-10000,-0.70%,"299,241","61,925","-111,469","73,232,490",49.72%
2013.12.11,"1,420,000",-20000,-1.39%,"212,583","-25,712","-31,557","73,400,389",49.83%
2013.12.10,"1,440,000",-14000,-0.96%,"155,112",-916,613,"73,434,546",49.85%
2013.12.09,"1,454,000",26000,1.82%,"139,938","-12,031","50,752","73,433,933",49.85%
2013.12.06,"1,428,000",-12000,-0.83%,"182,949","-47,374","24,893","73,370,894",49.81%
2013.12.05,"1,440,000",8000,0.56%,"209,593","-20,721","-6,296","73,344,310",49.79%
2013.12.04,"1,432,000",-29000,-1.98%,"216,880","11,787","-98,078","73,346,374",49.79%
2013.12.03,"1,461,000",-6000,-0.41%,"155,972","-8,977","16,648","73,448,684",49.86%
2013.12.02,"1,467,000",-27000,-1.81%,"149,756","-13,439","14,220","73,442,036",49.86%
2013.11.29,"1,494,000",0,0.00%,"135,044","-16,035","35,840","73,417,816",49.84%
2013.11.28,"1,494,000",24000,1.63%,"212,898","35,673","68,148","73,381,976",49.82%
2013.11.27,"1,470,000",-9000,-0.61%,"187,034","16,679","-14,923","73,314,257",49.77%
2013.11.26,"1,479,000",14000,0.96%,"171,725","5,556","16,807","73,329,180",49.78%
2013.11.25,"1,465,000",15000,1.03%,"132,306","9,498","25,636","73,312,373",49.77%
2013.11.22,"1,450,000",10000,0.69%,"171,492",-86,"-9,828","73,290,977",49.76%
2013.11.21,"1,440,000",-30000,-2.04%,"180,396","-4,061","-41,179","73,302,925",49.76%
2013.11.20,"1,470,000",-19000,-1.28%,"163,563","31,211","-23,275","73,344,263",49.79%
2013.11.19,"1,489,000",15000,1.02%,"163,671","7,331","51,285","73,367,538",49.81%
2013.11.18,"1,474,000",12000,0.82%,"127,736",81,"30,324","73,314,148",49.77%
2013.11.15,"1,462,000",38000,2.67%,"166,785","34,284","11,015","73,283,824",49.75%
2013.11.14,"1,424,000",5000,0.35%,"202,643","-19,505","1,671","73,271,968",49.74%
2013.11.13,"1,419,000",-37000,-2.54%,"199,904","-16,140","-19,208","73,266,047",49.74%
2013.11.12,"1,456,000",28000,1.96%,"195,698","-10,925","56,395","73,285,255",49.75%
2013.11.11,"1,428,000",18000,1.28%,"171,277","-5,614","16,513","73,230,832",49.72%
2013.11.08,"1,410,000",-27000,-1.88%,"273,627","-40,735","-15,653","73,214,319",49.70%
2013.11.07,"1,437,000",-14000,-0.96%,"260,136","-44,749","-1,990","73,229,972",49.72%
2013.11.06,"1,451,000",-34000,-2.29%,"244,368","-86,787","10,147","73,227,732",49.71%
2013.11.05,"1,485,000",-14000,-0.93%,"160,186","-26,355","9,412","73,215,465",49.71%
2013.11.04,"1,499,000",-1000,-0.07%,"217,756","-13,442","41,594","73,182,788",49.68%
2013.11.01,"1,500,000",35000,2.39%,"227,154","-33,171","109,120","73,141,194",49.65%
2013.10.31,"1,465,000",-35000,-2.33%,"252,941","-20,085","28,153","73,029,113",49.58%
2013.10.30,"1,500,000",10000,0.67%,"211,768","-19,249","98,751","73,053,784",49.60%
2013.10.29,"1,490,000",8000,0.54%,"206,698","-13,057","57,107","72,945,033",49.52%
2013.10.28,"1,482,000",33000,2.28%,"226,154","-1,523","64,160","72,887,926",49.48%
2013.10.25,"1,449,000",0,0.00%,"134,706","-26,566","32,282","72,780,942",49.41%
2013.10.24,"1,449,000",7000,0.49%,"178,313","-39,617","33,883","72,730,468",49.38%
2013.10.23,"1,442,000",-13000,-0.89%,"171,969","-50,235","55,221","72,696,585",49.35%
2013.10.22,"1,455,000",-9000,-0.61%,"247,065","-7,446","13,100","72,627,405",49.31%
2013.10.21,"1,464,000",-8000,-0.54%,"142,521","-22,341","25,318","72,612,875",49.30%
2013.10.18,"1,472,000",9000,0.62%,"157,043","-18,726","49,745","72,579,097",49.27%
2013.10.17,"1,463,000",13000,0.90%,"181,987","-38,322","73,832","72,525,741",49.24%
2013.10.16,"1,450,000",-7000,-0.48%,"160,212","-30,356","52,406","72,451,909",49.19%
2013.10.15,"1,457,000",19000,1.32%,"200,473","-21,977","89,807","72,399,503",49.15%
2013.10.14,"1,438,000",-5000,-0.35%,"147,474","-48,110","57,182","72,304,620",49.09%
2013.10.11,"1,443,000",13000,0.91%,"225,083","-3,842","24,993","72,241,093",49.04%
2013.10.10,"1,430,000",0,0.00%,"276,380","-38,693","33,143","72,191,705",49.01%
2013.10.08,"1,430,000",-6000,-0.42%,"210,920","-17,906","30,721","72,137,412",48.97%
2013.10.07,"1,436,000",18000,1.27%,"204,565","-7,052","34,372","72,166,020",48.99%
2013.10.04,"1,418,000",0,0.00%,"315,074","1,551","46,005","72,131,648",48.97%
2013.10.02,"1,418,000",36000,2.60%,"351,727","47,791","96,792","72,085,643",48.94%
2013.10.01,"1,382,000",15000,1.10%,"195,463","-13,021","70,864","71,988,851",48.87%
2013.09.30,"1,367,000",1000,0.07%,"233,018","-8,239","39,825","71,917,987",48.82%
2013.09.27,"1,366,000",-6000,-0.44%,"232,265","-51,489","54,428","71,859,127",48.78%
2013.09.26,"1,372,000",8000,0.59%,"207,494","-34,320","30,938","71,814,699",48.75%
2013.09.25,"1,364,000",-9000,-0.66%,"223,529","-24,008","16,150","71,774,382",48.73%
2013.09.24,"1,373,000",13000,0.96%,"302,778","-40,022","46,968","71,745,000",48.71%
2013.09.23,"1,360,000",-26000,-1.88%,"487,258","-52,654","-2,500","71,697,732",48.67%
2013.09.17,"1,386,000",-39000,-2.74%,"343,627","-91,583","42,728","71,694,319",48.67%
2013.09.16,"1,425,000",19000,1.35%,"234,214","-51,508","103,125","71,641,853",48.64%
2013.09.13,"1,406,000",-4000,-0.28%,"245,630","-108,185","136,778","71,528,331",48.56%
2013.09.12,"1,410,000",8000,0.57%,"436,108","-54,101","147,158","71,374,500",48.46%
2013.09.11,"1,402,000",6000,0.43%,"267,060","-62,070","119,039","71,218,643",48.35%
2013.09.10,"1,396,000",23000,1.68%,"294,353","-35,371","136,264","71,099,604",48.27%
2013.09.09,"1,373,000",4000,0.29%,"185,831","-17,378","56,907","70,942,140",48.16%
2013.09.06,"1,369,000",4000,0.29%,"238,759","-17,463","68,050","70,886,889",48.12%
2013.09.05,"1,365,000",25000,1.87%,"302,002","-3,580","84,964","70,801,778",48.07%
2013.09.04,"1,340,000",3000,0.22%,"218,401","-31,921","36,242","70,668,514",47.98%
2013.09.03,"1,337,000",-14000,-1.04%,"235,970","-43,483","44,441","70,624,862",47.95%
2013.09.02,"1,351,000",-17000,-1.24%,"201,632","-20,624","36,666","70,580,821",47.92%
2013.08.30,"1,368,000",24000,1.79%,"342,716","-44,635","174,578","70,544,155",47.89%
2013.08.29,"1,344,000",35000,2.67%,"326,300","18,672","118,823","70,379,577",47.78%
2013.08.28,"1,309,000",5000,0.38%,"189,851","-10,773","59,115","70,250,754",47.69%
2013.08.27,"1,304,000",4000,0.31%,"182,616","5,223","38,372","70,191,639",47.65%
2013.08.26,"1,300,000",5000,0.39%,"230,393","-16,677","61,149","70,131,867",47.61%
2013.08.23,"1,295,000",40000,3.19%,"344,068","-31,729","120,549","70,070,718",47.57%
2013.08.22,"1,255,000",-1000,-0.08%,"239,697","2,540","11,077","69,956,559",47.49%
2013.08.21,"1,256,000",-13000,-1.02%,"246,921","-10,587","-15,551","69,945,482",47.49%
2013.08.20,"1,269,000",-17000,-1.32%,"284,619","-40,092","57,924","69,960,908",47.50%
2013.08.19,"1,286,000",-9000,-0.69%,"129,997","-38,267","23,354","69,902,984",47.46%
2013.08.16,"1,295,000",-5000,-0.38%,"228,332","1,162","25,403","69,879,630",47.44%
2013.08.14,"1,300,000",10000,0.78%,"260,102","-32,799","99,343","69,850,637",47.42%
2013.08.13,"1,290,000",58000,4.71%,"418,589","53,858","51,113","69,729,994",47.34%
2013.08.12,"1,232,000",2000,0.16%,"202,812","40,155","-35,169","69,679,137",47.30%
2013.08.09,"1,230,000",13000,1.07%,"241,604","3,890","-3,753","69,714,306",47.33%
2013.08.08,"1,217,000",-5000,-0.41%,"358,216","59,433","-130,110","69,741,398",47.35%
2013.08.07,"1,222,000",-32000,-2.55%,"315,562","5,056","-132,560","69,871,508",47.44%
2013.08.06,"1,254,000",-20000,-1.57%,"289,874","12,008","-64,368","70,004,068",47.53%
2013.08.05,"1,274,000",-12000,-0.93%,"161,597","-27,368","4,449","70,068,436",47.57%
2013.08.02,"1,286,000",6000,0.47%,"224,827","-2,336","1,489","70,063,987",47.57%
2013.08.01,"1,280,000",0,0.00%,"181,178","-8,541","-14,326","70,062,766",47.56%
2013.07.31,"1,280,000",-10000,-0.78%,"254,710","7,030","-29,058","70,077,092",47.57%
2013.07.30,"1,290,000",7000,0.55%,"188,507","40,157","-31,907","70,064,202",47.57%
2013.07.29,"1,283,000",-20000,-1.53%,"236,437","-27,551","-16,450","70,107,709",47.60%
2013.07.26,"1,303,000",-12000,-0.91%,"272,391","-35,843","23,665","70,086,879",47.58%
2013.07.25,"1,315,000",0,0.00%,"169,913","-11,409","32,739","70,063,214",47.57%
2013.07.24,"1,315,000",8000,0.61%,"175,453","-1,075","22,023","70,054,015",47.56%
2013.07.23,"1,307,000",34000,2.67%,"238,978","-1,864","79,704","70,033,992",47.55%
2013.07.22,"1,273,000",0,0.00%,"207,023","-17,269","4,648","69,977,828",47.51%
2013.07.19,"1,273,000",-19000,-1.47%,"325,426","-21,018","-58,554","69,994,580",47.52%
2013.07.18,"1,292,000",-28000,-2.12%,"314,084","6,809","-84,857","70,056,904",47.56%
2013.07.17,"1,320,000",22000,1.69%,"246,046","47,072","8,751","70,143,261",47.62%
2013.07.16,"1,298,000",-15000,-1.14%,"186,019","-23,341","-10,494","70,134,510",47.61%
2013.07.15,"1,313,000",1000,0.08%,"192,592","-20,806","17,974","70,145,004",47.62%
2013.07.12,"1,312,000",0,0.00%,"227,826","-40,961","60,189","70,127,030",47.61%
2013.07.11,"1,312,000",64000,5.13%,"415,767","50,378","45,065","70,067,321",47.57%
2013.07.10,"1,248,000",11000,0.89%,"346,113","-4,952","19,407","70,022,256",47.54%
2013.07.09,"1,237,000",11000,0.90%,"393,899","38,586","-55,614","70,002,849",47.52%
2013.07.08,"1,226,000",-41000,-3.24%,"529,603","46,292","-124,550","70,058,463",47.56%
2013.07.05,"1,267,000",-50000,-3.80%,"607,656","-131,822","-103,250","70,183,013",47.65%
2013.07.04,"1,317,000",16000,1.23%,"180,853","12,693","-21,552","70,286,263",47.72%
2013.07.03,"1,301,000",-34000,-2.55%,"256,441","-8,413","-43,382","70,309,945",47.73%
2013.07.02,"1,335,000",9000,0.68%,"204,289","14,218","-8,096","70,353,327",47.76%
2013.07.01,"1,326,000",-16000,-1.19%,"256,519","-13,631","-5,324","70,365,642",47.77%
2013.06.28,"1,342,000",3000,0.22%,"419,225","-54,847","80,501","70,371,689",47.77%
2013.06.27,"1,339,000",78000,6.19%,"515,123","-29,015","72,519","70,303,968",47.73%
2013.06.26,"1,261,000",-36000,-2.78%,"635,024","-11,595","-109,418","70,350,159",47.76%
2013.06.25,"1,297,000",-16000,-1.22%,"415,499","53,143","-78,920","70,449,600",47.83%
2013.06.24,"1,313,000",-12000,-0.91%,"316,958","14,646","-38,781","70,520,808",47.88%
2013.06.21,"1,325,000",-4000,-0.30%,"553,556","167,108","-171,948","70,579,400",47.92%
2013.06.20,"1,329,000",-40000,-2.92%,"356,359","76,264","-133,054","70,764,347",48.04%
2013.06.19,"1,369,000",-18000,-1.30%,"205,405","31,159","-64,747","70,908,051",48.14%
2013.06.18,"1,387,000",21000,1.54%,"220,861","44,319","-49,422","70,977,058",48.19%
2013.06.17,"1,366,000",-3000,-0.22%,"235,169","30,075","1,595","71,030,740",48.22%
2013.06.14,"1,369,000",12000,0.88%,"351,167","59,802","-84,847","71,050,871",48.24%
2013.06.13,"1,357,000",-28000,-2.02%,"670,197","69,564","-335,110","71,158,296",48.31%
2013.06.12,"1,385,000",-4000,-0.29%,"457,753","65,216","-184,269","71,493,411",48.54%
2013.06.11,"1,389,000",-36000,-2.53%,"692,260","57,257","-235,493","71,657,740",48.65%
2013.06.10,"1,425,000",-2000,-0.14%,"533,554","22,482","-163,425","71,914,401",48.82%
2013.06.07,"1,427,000",-94000,-6.18%,"1,085,816","40,279","-455,719","72,085,198",48.94%
2013.06.05,"1,521,000",-19000,-1.23%,"271,813","32,929","-13,407","72,530,917",49.24%
2013.06.04,"1,540,000",8000,0.52%,"169,932","-10,429","12,172","72,544,324",49.25%
2013.06.03,"1,532,000",-6000,-0.39%,"206,189",-225,"21,651","72,532,152",49.24%
2013.05.31,"1,538,000",-6000,-0.39%,"360,501","29,958","48,136","72,508,341",49.23%
2013.05.30,"1,544,000",32000,2.12%,"455,560","57,187","131,628","72,460,205",49.19%
2013.05.29,"1,512,000",28000,1.89%,"295,211","27,354","65,488","72,328,577",49.10%
2013.05.28,"1,484,000",-5000,-0.34%,"231,761","27,642","-31,256","72,263,089",49.06%
2013.05.27,"1,489,000",3000,0.20%,"122,928","18,452","-4,411","72,293,818",49.08%
2013.05.24,"1,486,000",2000,0.13%,"203,812","-4,838","-43,497","72,298,229",49.08%
